,label,tweet,length,tweet_list
0,0,"RT @seungweo: OP meet seungwoo, hangyul, and yuvin at starbucks and got their sign!!🤗 ",86,"['RT', 'seungweo', 'OP', 'meet', 'seungwoo', 'hangyul', 'yuvin', 'starbucks', 'get', 'sign']"
1,0,"@WE_THE_BOYZ but first, starbucks he said",41,"['WE_THE_BOYZ', 'first', 'starbucks', 'say']"
2,0,Moonpies are okay... but I like Starbucks more.,47,"['Moonpies', 'okay', 'like', 'Starbucks']"
3,1,RT @that1mum: Was just woken up to a call from my child at school asking me to please bring her hot sauce cause she needs it for a presenta…,140,"['RT', 'wake', 'call', 'child', 'school', 'ask', 'please', 'bring', 'hot', 'sauce', 'cause', 'need']"
4,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
5,0,@WE_THE_BOYZ I was waiting for you to actually post a starbucks cup not gonna lie HAHAHA,88,"['WE_THE_BOYZ', 'wait', 'actually', 'post', 'starbucks', 'cup', 'gon', 'na', 'lie', 'HAHAHA']"
6,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
7,0,"@WE_THE_BOYZ Why is this me??? Finding the closest Starbucks in any place i go 😂😂

Enjoy Europe, love. I can’t wait… https://t.co/MOuLD8IuL7",140,"['WE_THE_BOYZ', 'Finding', 'closest', 'Starbucks', 'place', 'go', 'Enjoy', 'Europe', 'love', 'https']"
8,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
9,0,@WE_THE_BOYZ Aka starbucks,26,"['WE_THE_BOYZ', 'Aka', 'starbucks']"
10,1,RT @lgbtqnation: Starbucks fired a trans manager after a cop complained on Facebook about her employee  https://t.co/EHUXmH3pRX,127,"['RT', 'lgbtqnation', 'Starbucks', 'fire', 'trans', 'manager', 'cop', 'complain', 'Facebook', 'employee', 'https']"
11,0,kevin starbucks boi,19,"['kevin', 'starbucks', 'boi']"
12,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
13,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
14,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
15,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
16,0,"RT @ChrisIsaak: ""San Francisco Days"" and ""5:15"" have been added to @Starbucks Coffeehouse playlist on @spotify! Take a listen and also hear…",140,"['RT', 'ChrisIsaak', 'San', 'Francisco', 'Days', 'add', 'Starbucks', 'Coffeehouse', 'playlist', 'spotify', 'Take', 'listen', 'also']"
17,0,If Kevin comes down to Australia imma give him my Starbucks card to get me some points for some free drinks HAHAHAHA,116,"['Kevin', 'come', 'Australia', 'imma', 'give', 'Starbucks', 'card', 'get', 'point', 'free', 'drink', 'HAHAHAHA']"
18,0,Guess whose getting a hot caramel macchiato from Starbucks in the morning 🙈,75,"['Guess', 'whose', 'get', 'hot', 'caramel', 'macchiato', 'Starbucks', 'morning']"
19,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
20,1,Just don't take her to starbucks if you never been there at the first place.,76,"['take', 'starbucks', 'never', 'first', 'place']"
21,1,"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",140,"['RT', 'argumentwinner', 'anybody', 'ever', 'doubt', 'turn', 'absolutely', 'right', 'plot', 'get', 'someone']"
22,0,You literally had someone walk up to you to give you his number so you won,74,"['literally', 'someone', 'walk', 'give', 'number']"
23,0,"I'm at Starbucks in Kuwait City, KUWAIT https://t.co/odf6JON88O",63,"['Starbucks', 'Kuwait', 'City', 'KUWAIT', 'https']"
24,1,@JChapman1729 And yet the dude at Starbucks would still spell your name wrong.,78,"['yet', 'dude', 'Starbucks', 'would', 'still', 'spell', 'name', 'wrong']"
25,0,"@WE_THE_BOYZ yikeees! Kevs, the new endorser for Starbucks 😁",60,"['WE_THE_BOYZ', 'yikeees', 'Kevs', 'new', 'endorser', 'Starbucks']"
26,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
27,0,"@WE_THE_BOYZ green mermaid aka starbucks, okay 🤣😂",49,"['WE_THE_BOYZ', 'green', 'mermaid', 'aka', 'starbucks', 'okay']"
28,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
29,1,@Crmblu I’M IN A PUBLIC STARBUCKS PLEASE GIVE ME AN HOUR,56,"['Crmblu', 'PUBLIC', 'STARBUCKS', 'PLEASE', 'GIVE', 'HOUR']"
30,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
31,0,"RT @sayajualrumah: MRT Station : 5 min walking distance.

Amenities Nearby :
AEON Shopping Mall, Giant, Jusco, Speedmart, Pasar Borong Sela…",140,"['RT', 'sayajualrumah', 'MRT', 'Station', 'min', 'walk', 'distance', 'Amenities', 'Nearby', 'AEON', 'Shopping', 'Mall', 'Giant', 'Jusco', 'Speedmart', 'Pasar', 'Borong']"
32,1,My natal chart report says this and this is mfing true because I always scout while my goal is to save.. Or when I… https://t.co/fGnTikam5n,139,"['natal', 'chart', 'report', 'say', 'mfing', 'true', 'always', 'scout', 'goal', 'save', 'https']"
33,0,RT @aaliyahrndz: Buying me Starbucks will go a long way lmao,60,"['RT', 'aaliyahrndz', 'Buying', 'Starbucks', 'go', 'long', 'way', 'lmao']"
34,0,"I'm at Starbucks KL Eco City in Kuala Lumpur, KL https://t.co/6AP5C0n12e",72,"['Starbucks', 'KL', 'Eco', 'City', 'Kuala', 'Lumpur', 'KL', 'https']"
35,0,"@WE_THE_BOYZ You 🤝 me
Starbucks",31,"['WE_THE_BOYZ', 'Starbucks']"
36,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
37,0,New coffee shop aiming to launch here. Opening right next door to Starbucks. And over the road from Costa. And thir… https://t.co/ktEkopFLYF,140,"['New', 'coffee', 'shop', 'aim', 'launch', 'Opening', 'right', 'next', 'door', 'Starbucks', 'road', 'Costa', 'https']"
38,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
39,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
40,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
41,1,@WE_THE_BOYZ I might not be a Starbucks barista but I still work at a coffee shop 😪✊🏻,85,"['WE_THE_BOYZ', 'might', 'Starbucks', 'barista', 'still', 'work', 'coffee', 'shop']"
42,0,@SlimJim496 loves them 🤢,24,['love']
43,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
44,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
45,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
46,1,"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",140,"['RT', 'Ninja', 'girls', 'Starbucks', 'drive', 'ask', 'name', 'say', 'Tyler', 'Pulled', 'saw', 'talk', 'smile']"
47,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
48,1,RT @Brandon__52: So Starbucks is in target and they said they might be out of honey If you don’t walk your ass down isle 9 and I done alrea…,140,"['RT', 'Starbucks', 'target', 'say', 'might', 'honey', 'walk', 'ass', 'isle', 'do']"
49,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
50,0,"Check out Starbucks (Jeddah, Makkah) on @FoursquareGuide: https://t.co/UgeIskudrN https://t.co/zWR3srzgWc https://t.co/r5qemyPM4U",129,"['Check', 'Starbucks', 'Jeddah', 'Makkah', 'FoursquareGuide', 'https', 'https', 'https']"
51,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
52,0,i will literally buy you a starbucks building if you want it,60,"['literally', 'buy', 'starbucks', 'build', 'want']"
53,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
54,1,"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",140,"['RT', 'Ninja', 'girls', 'Starbucks', 'drive', 'ask', 'name', 'say', 'Tyler', 'Pulled', 'saw', 'talk', 'smile']"
55,0,"which one would you order? 🍒

#threads #starbucks #explorepage #aesthetic #drink #starbuckssecretmenu #secret #menu… https://t.co/EvYQdXg73E",140,"['one', 'would', 'order', 'thread', 'starbucks', 'explorepage', 'aesthetic', 'drink', 'starbuckssecretmenu', 'secret', 'https']"
56,1,"RT @Ninja: The girls at the Starbucks drive through asked for my name, I said Tyler. Pulled up and saw them talking and smiling and they wr…",140,"['RT', 'Ninja', 'girls', 'Starbucks', 'drive', 'ask', 'name', 'say', 'Tyler', 'Pulled', 'saw', 'talk', 'smile']"
57,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
58,0,@seungcobie @WE_THE_BOYZ I SWEAR HE CAN'T GO ANYWHERE WITHOUT DRINKING STARBUCKS,80,"['seungcobie', 'WE_THE_BOYZ', 'SWEAR', 'CA', 'GO', 'ANYWHERE', 'WITHOUT', 'DRINKING', 'STARBUCKS']"
59,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
60,1,"RT @LoreTohsaka: @latewithlilly @NBCUSocialSynch @Starbucks Oh wow, this was so damn cringy lmaooo",98,"['RT', 'LoreTohsaka', 'latewithlilly', 'NBCUSocialSynch', 'Starbucks', 'Oh', 'wow', 'damn', 'cringy', 'lmaooo']"
61,0,RT @d3gonzo: @latewithlilly @NBCUSocialSynch @Starbucks Watch me attempt to work a customer service job. Riveting content...,124,"['RT', 'latewithlilly', 'NBCUSocialSynch', 'Starbucks', 'Watch', 'attempt', 'work', 'customer', 'service', 'job', 'Riveting', 'content']"
62,0,RT @latewithlilly: Lilly decided to take the day off from hosting #LateWithLilly and learn what it takes to be a @Starbucks barista! ☕️ #ad…,140,"['RT', 'latewithlilly', 'Lilly', 'decide', 'take', 'day', 'host', 'LateWithLilly', 'learn', 'take', 'Starbucks', 'barista']"
63,0,A boo who gonna support me being a starbucks addict and take me when I want&gt;&gt;,83,"['boo', 'gon', 'na', 'support', 'starbucks', 'addict', 'take', 'want', 'gt', 'gt']"
64,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
65,0,top 10 questions to ask my college: how do we both have a Starbucks and a Costa cafe when we're the size of a very large highschool?,132,"['top', 'question', 'ask', 'college', 'Starbucks', 'Costa', 'cafe', 'size', 'large', 'highschool']"
66,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
67,0,@WE_THE_BOYZ @_larynn_ every starbucks he probably tried,56,"['WE_THE_BOYZ', 'larynn', 'every', 'starbucks', 'probably', 'try']"
68,0,"RT @Cocoa_Bean10: Now do Muslim religious greetings comrade McPipsqueak

 ... Drinking Barney’s coffee while I wait https://t.co/joCtZmaQwM",139,"['RT', 'Muslim', 'religious', 'greet', 'comrade', 'McPipsqueak', 'Drinking', 'Barney', 'coffee', 'wait', 'https']"
69,0,"I'm at Starbucks in Jeddah, Makkah https://t.co/Uesfg5WO8n https://t.co/29P6lzU6i0",82,"['Starbucks', 'Jeddah', 'Makkah', 'https', 'https']"
70,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
71,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
72,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
73,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
74,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
75,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
76,1,@whippedforkev @WE_THE_BOYZ starbucks is constantly coursing through his veins,78,"['whippedforkev', 'WE_THE_BOYZ', 'starbucks', 'constantly', 'course', 'vein']"
77,1,"RT @argumentwinner: not that anybody ever doubted me, but it turns out i was absolutely right about this and it was a plot to get someone f…",140,"['RT', 'argumentwinner', 'anybody', 'ever', 'doubt', 'turn', 'absolutely', 'right', 'plot', 'get', 'someone']"
78,0,also me walking into starbucks with a bunch of greggs doughnuts for a coffee although i couldve got one for mad che… https://t.co/BO1EVPkuz6,140,"['also', 'walk', 'starbucks', 'bunch', 'greggs', 'doughnuts', 'coffee', 'although', 'couldve', 'get', 'one', 'mad', 'https']"
79,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
80,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
81,1,the way im crying in Starbucks rn,33,"['way', 'im', 'cry', 'Starbucks', 'rn']"
82,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
83,1,RT @ohhoe: @TIME People in the replies mad about this are the same type of people who get mad when Starbucks removed Christmas from their c…,140,"['RT', 'ohhoe', 'TIME', 'People', 'reply', 'mad', 'type', 'people', 'get', 'mad', 'Starbucks', 'remove', 'Christmas']"
84,1,RT @AriDrennen: Remember the story about a Starbucks employee writing “pig” on a coffee order for police officers? The employee who did it…,139,"['RT', 'AriDrennen', 'Remember', 'story', 'Starbucks', 'employee', 'write', 'pig', 'coffee', 'order', 'police', 'officer', 'employee']"
85,0,"Unlimited coffee! 🥰 (@ Starbucks in Amsterdam, Noord-Holland) https://t.co/GuudqhkbB9",85,"['Unlimited', 'coffee', 'Starbucks', 'Amsterdam', 'https']"
86,0,"Need a very hot drink here -15c hiking to and from Genghis Khan Square (@ Starbucks in Xilin Gol, Nei Mongol) https://t.co/ErzQIcagtK",133,"['Need', 'hot', 'drink', 'hike', 'Genghis', 'Khan', 'Square', 'Starbucks', 'Xilin', 'Gol', 'Nei', 'Mongol', 'https']"
87,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
88,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
89,0,i spend rm30 at starbucks today just for myself. some guy bawa rm20 to starbucks for first date? hm,99,"['spend', 'starbucks', 'today', 'guy', 'bawa', 'starbucks', 'first', 'date', 'hm']"
90,0,"RT @bombanta: Starbucks putting my tweet in their stores 
https://t.co/bYmJZGKJi0 https://t.co/gk1fg8M06z",105,"['RT', 'bombanta', 'Starbucks', 'put', 'tweet', 'store', 'https', 'https']"
91,0,#Starbucks uk wankers not enough eggnog around,46,"['Starbucks', 'uk', 'wankers', 'enough', 'eggnog', 'around']"
92,1,I really hope Starbucks corporate is looking into this situation &amp; correcting it now that the truth is out. The wom… https://t.co/tpjQznoV39,144,"['really', 'hope', 'Starbucks', 'corporate', 'look', 'situation', 'amp', 'correct', 'truth', 'https']"
93,0,"I'm at Starbucks in Al Jubayl Industrial City, Ash Sharqiyah https://t.co/eZRx91yJ17",84,"['Starbucks', 'Al', 'Jubayl', 'Industrial', 'City', 'Ash', 'Sharqiyah', 'https']"
